There are a total of 783 landmasses
--------------------------------------------------------
For rt = 0.950000:
--------------------------------------------------------
Degree distributions:
With 696 degrees: 0
With 697 degrees: 0
With 698 degrees: 0
With 699 degrees: 0
With 700 degrees: 0
With 701 degrees: 0
With 702 degrees: 0
With 703 degrees: 0
With 704 degrees: 0
With 705 degrees: 0
With 706 degrees: 0
With 707 degrees: 0
With 708 degrees: 0
With 709 degrees: 0
With 710 degrees: 0
With 711 degrees: 0
With 712 degrees: 0
With 713 degrees: 0
With 714 degrees: 0
With 715 degrees: 0
With 716 degrees: 0
With 717 degrees: 0
With 718 degrees: 0
With 719 degrees: 0
With 720 degrees: 0
With 721 degrees: 0
With 722 degrees: 0
With 723 degrees: 0
With 724 degrees: 0
With 725 degrees: 0
With 726 degrees: 0
With 727 degrees: 0
With 728 degrees: 0
With 729 degrees: 0
With 730 degrees: 0
With 731 degrees: 0
With 732 degrees: 0
With 733 degrees: 0
With 734 degrees: 0
With 735 degrees: 0
With 736 degrees: 0
With 737 degrees: 0
With 738 degrees: 0
With 739 degrees: 0
With 740 degrees: 0
With 741 degrees: 0
With 742 degrees: 0
With 743 degrees: 0
With 744 degrees: 0
With 745 degrees: 0
With 746 degrees: 0
With 747 degrees: 0
With 748 degrees: 0
With 749 degrees: 0
With 750 degrees: 0
With 751 degrees: 0
With 752 degrees: 0
With 753 degrees: 0
With 754 degrees: 0
With 755 degrees: 0
With 756 degrees: 0
With 757 degrees: 0
With 758 degrees: 0
With 759 degrees: 0
With 760 degrees: 0
With 761 degrees: 0
With 762 degrees: 0
With 763 degrees: 0
With 764 degrees: 0
With 765 degrees: 0
With 766 degrees: 0
With 767 degrees: 0
With 768 degrees: 0
With 769 degrees: 0
With 770 degrees: 0
With 771 degrees: 0
With 772 degrees: 0
With 773 degrees: 0
With 774 degrees: 0
With 775 degrees: 0
With 776 degrees: 0
With 777 degrees: 0
With 778 degrees: 0
With 779 degrees: 0
With 780 degrees: 0
With 781 degrees: 0
With 782 degrees: 0
With 783 degrees: 0
With 784 degrees: 0
With 785 degrees: 0
With 786 degrees: 0
With 787 degrees: 0
With 788 degrees: 0
With 789 degrees: 0
With 790 degrees: 0
With 791 degrees: 0
With 792 degrees: 0
With 793 degrees: 0
With 794 degrees: 0
With 795 degrees: 0
With 796 degrees: 0
With 797 degrees: 0
With 798 degrees: 0
With 799 degrees: 0
With 800 degrees: 0
With 801 degrees: 0
With 802 degrees: 0
With 803 degrees: 0
With 804 degrees: 0
With 805 degrees: 0
With 806 degrees: 0
With 807 degrees: 0
With 808 degrees: 0
With 809 degrees: 0
With 810 degrees: 0
With 811 degrees: 0
With 812 degrees: 0
With 813 degrees: 0
With 814 degrees: 0
With 815 degrees: 0
With 816 degrees: 0
With 817 degrees: 0
With 818 degrees: 0
With 819 degrees: 0
With 820 degrees: 0
With 821 degrees: 0
With 822 degrees: 0
With 823 degrees: 0
With 824 degrees: 0
With 825 degrees: 0
With 826 degrees: 0
With 827 degrees: 0
With 828 degrees: 0
With 829 degrees: 0
With 830 degrees: 0
With 831 degrees: 0
With 832 degrees: 0
With 833 degrees: 0
With 834 degrees: 0
With 835 degrees: 0
With 836 degrees: 0
With 837 degrees: 0
With 838 degrees: 0
With 839 degrees: 0
With 840 degrees: 0
With 841 degrees: 0
With 842 degrees: 0
With 843 degrees: 0
With 844 degrees: 0
With 845 degrees: 0
With 846 degrees: 0
With 847 degrees: 0
With 848 degrees: 0
With 849 degrees: 0
With 850 degrees: 0
With 851 degrees: 0
With 852 degrees: 0
With 853 degrees: 0
With 854 degrees: 0
With 855 degrees: 0
With 856 degrees: 0
With 857 degrees: 0
With 858 degrees: 0
With 859 degrees: 0
With 860 degrees: 0
With 861 degrees: 0
With 862 degrees: 0
With 863 degrees: 0
With 864 degrees: 0
With 865 degrees: 0
With 866 degrees: 0
With 867 degrees: 0
With 868 degrees: 0
With 869 degrees: 0
With 870 degrees: 0
With 871 degrees: 0
With 872 degrees: 0
With 873 degrees: 0
With 874 degrees: 0
With 875 degrees: 0
With 876 degrees: 0
With 877 degrees: 0
With 878 degrees: 0
With 879 degrees: 0
With 880 degrees: 0
With 881 degrees: 0
With 882 degrees: 0
With 883 degrees: 0
With 884 degrees: 0
With 885 degrees: 0
With 886 degrees: 0
With 887 degrees: 0
With 888 degrees: 0
With 889 degrees: 0
With 890 degrees: 0
With 891 degrees: 0
With 892 degrees: 0
With 893 degrees: 0
With 894 degrees: 0
With 895 degrees: 0
With 896 degrees: 0
With 897 degrees: 0
With 898 degrees: 0
With 899 degrees: 0
With 900 degrees: 0
With 901 degrees: 0
With 902 degrees: 0
With 903 degrees: 0
With 904 degrees: 0
With 905 degrees: 0
With 906 degrees: 0
With 907 degrees: 0
With 908 degrees: 0
With 909 degrees: 0
With 910 degrees: 0
With 911 degrees: 0
With 912 degrees: 0
With 913 degrees: 0
With 914 degrees: 0
With 915 degrees: 0
With 916 degrees: 0
With 917 degrees: 0
With 918 degrees: 0
With 919 degrees: 0
With 920 degrees: 0
With 921 degrees: 0
With 922 degrees: 0
With 923 degrees: 0
With 924 degrees: 0
With 925 degrees: 0
With 926 degrees: 0
With 927 degrees: 0
With 928 degrees: 0
With 929 degrees: 0
With 930 degrees: 0
With 931 degrees: 0
With 932 degrees: 0
With 933 degrees: 0
With 934 degrees: 0
With 935 degrees: 0
With 936 degrees: 0
With 937 degrees: 0
With 938 degrees: 0
With 939 degrees: 0
With 940 degrees: 0
With 941 degrees: 0
With 942 degrees: 0
With 943 degrees: 0
With 944 degrees: 0
With 945 degrees: 0
With 946 degrees: 0
With 947 degrees: 0
With 948 degrees: 0
With 949 degrees: 0
With 950 degrees: 0
With 951 degrees: 0
With 952 degrees: 0
With 953 degrees: 0
With 954 degrees: 0
With 955 degrees: 0
With 956 degrees: 0
With 957 degrees: 0
With 958 degrees: 0
With 959 degrees: 0
With 960 degrees: 0
With 961 degrees: 0
With 962 degrees: 0
